ALMACEN,SHIPTO,DIA,MES,A¥O,ARTICULO,DISPONIBLE
102-MCABOR,M3033035,26,12,2025,44403,8
102-MCABOR,M3033035,26,12,2025,44835,4
102-MCABOR,M3033035,26,12,2025,44847,4
102-MCABOR,M3033035,26,12,2025,44941,8
102-MCABOR,M3033035,26,12,2025,45468,24
102-MCABOR,M3033035,26,12,2025,45880,8
102-MCABOR,M3033035,26,12,2025,47997,1
102-MCABOR,M3033035,26,12,2025,48268,4
102-MCABOR,M3033035,26,12,2025,48686,4
102-MCABOR,M3033035,26,12,2025,50821,4
102-MCABOR,M3033035,26,12,2025,51598,4
102-MCABOR,M3033035,26,12,2025,52303,4
102-MCABOR,M3033035,26,12,2025,52691,8
102-MCABOR,M3033035,26,12,2025,52862,4
102-MCABOR,M3033035,26,12,2025,53322,4
102-MCABOR,M3033035,26,12,2025,54177,4
102-MCABOR,M3033035,26,12,2025,54211,4
102-MCABOR,M3033035,26,12,2025,55073,4
102-MCABOR,M3033035,26,12,2025,56039,4
102-MCABOR,M3033035,26,12,2025,56522,4
102-MCABOR,M3033035,26,12,2025,56770,8
102-MCABOR,M3033035,26,12,2025,58193,2
102-MCABOR,M3033035,26,12,2025,58346,4
102-MCABOR,M3033035,26,12,2025,58668,4
102-MCABOR,M3033035,26,12,2025,58787,4
102-MCABOR,M3033035,26,12,2025,59614,4
102-MCABOR,M3033035,26,12,2025,59835,4
102-MCABOR,M3033035,26,12,2025,59865,4
102-MCABOR,M3033035,26,12,2025,60932,4
102-MCABOR,M3033035,26,12,2025,61764,4
102-MCABOR,M3033035,26,12,2025,63256,4
102-MCABOR,M3033035,26,12,2025,64055,4
102-MCABOR,M3033035,26,12,2025,64273,4
102-MCABOR,M3033035,26,12,2025,64334,3
102-MCABOR,M3033035,26,12,2025,64364,4
102-MCABOR,M3033035,26,12,2025,64501,4
102-MCABOR,M3033035,26,12,2025,64690,4
102-MCABOR,M3033035,26,12,2025,64709,4
102-MCABOR,M3033035,26,12,2025,64811,6
102-MCABOR,M3033035,26,12,2025,65138,4
102-MCABOR,M3033035,26,12,2025,65269,6
102-MCABOR,M3033035,26,12,2025,65289,4
102-MCABOR,M3033035,26,12,2025,65995,4
102-MCABOR,M3033035,26,12,2025,66480,8
102-MCABOR,M3033035,26,12,2025,66539,4
102-MCABOR,M3033035,26,12,2025,67114,4
102-MCABOR,M3033035,26,12,2025,67198,5
102-MCABOR,M3033035,26,12,2025,68284,4
102-MCABOR,M3033035,26,12,2025,68420,4
102-MCABOR,M3033035,26,12,2025,69713,4
102-MCABOR,M3033035,26,12,2025,69948,4
102-MCABOR,M3033035,26,12,2025,70511,4
102-MCABOR,M3033035,26,12,2025,71904,2
102-MCABOR,M3033035,26,12,2025,71991,6
102-MCABOR,M3033035,26,12,2025,73058,4
102-MCABOR,M3033035,26,12,2025,73621,4
102-MCABOR,M3033035,26,12,2025,74662,4
102-MCABOR,M3033035,26,12,2025,75445,4
102-MCABOR,M3033035,26,12,2025,76143,4
102-MCABOR,M3033035,26,12,2025,76178,8
102-MCABOR,M3033035,26,12,2025,77010,12
102-MCABOR,M3033035,26,12,2025,77650,4
102-MCABOR,M3033035,26,12,2025,78075,4
102-MCABOR,M3033035,26,12,2025,78531,4
102-MCABOR,M3033035,26,12,2025,78804,4
102-MCABOR,M3033035,26,12,2025,79721,4
102-MCABOR,M3033035,26,12,2025,79813,4
102-MCABOR,M3033035,26,12,2025,83997,4
102-MCABOR,M3033035,26,12,2025,84178,6
102-MCABOR,M3033035,26,12,2025,84454,4
102-MCABOR,M3033035,26,12,2025,85586,4
102-MCABOR,M3033035,26,12,2025,87448,4
102-MCABOR,M3033035,26,12,2025,89015,4
102-MCABOR,M3033035,26,12,2025,89922,7
102-MCABOR,M3033035,26,12,2025,89989,4
102-MCABOR,M3033035,26,12,2025,91266,4
102-MCABOR,M3033035,26,12,2025,92446,12
102-MCABOR,M3033035,26,12,2025,92480,4
102-MCABOR,M3033035,26,12,2025,92862,4
102-MCABOR,M3033035,26,12,2025,93166,4
102-MCABOR,M3033035,26,12,2025,93470,4
102-MCABOR,M3033035,26,12,2025,94262,8
102-MCABOR,M3033035,26,12,2025,95554,4
102-MCABOR,M3033035,26,12,2025,98871,4
102-MCABOR,M3033035,26,12,2025,98945,4
102-MCABOR,M3033035,26,12,2025,99926,4
103-OBREGO,M3033036,26,12,2025,00264,7
103-OBREGO,M3033036,26,12,2025,00538,4
103-OBREGO,M3033036,26,12,2025,00648,4
103-OBREGO,M3033036,26,12,2025,00665,2
103-OBREGO,M3033036,26,12,2025,00805,3
103-OBREGO,M3033036,26,12,2025,00893,4
103-OBREGO,M3033036,26,12,2025,01174,12
103-OBREGO,M3033036,26,12,2025,01180,8
103-OBREGO,M3033036,26,12,2025,01201,9
103-OBREGO,M3033036,26,12,2025,01318,7
103-OBREGO,M3033036,26,12,2025,01333,8
103-OBREGO,M3033036,26,12,2025,01542,4
103-OBREGO,M3033036,26,12,2025,01560,4
103-OBREGO,M3033036,26,12,2025,01614,4
103-OBREGO,M3033036,26,12,2025,01637,16
103-OBREGO,M3033036,26,12,2025,01983,4
103-OBREGO,M3033036,26,12,2025,01999,8
103-OBREGO,M3033036,26,12,2025,02076,8
103-OBREGO,M3033036,26,12,2025,02151,8
103-OBREGO,M3033036,26,12,2025,02161,8
103-OBREGO,M3033036,26,12,2025,02390,7
103-OBREGO,M3033036,26,12,2025,02872,36
103-OBREGO,M3033036,26,12,2025,02932,4
103-OBREGO,M3033036,26,12,2025,02983,6
103-OBREGO,M3033036,26,12,2025,02994,11
103-OBREGO,M3033036,26,12,2025,03069,8
103-OBREGO,M3033036,26,12,2025,03169,8
103-OBREGO,M3033036,26,12,2025,03285,6
103-OBREGO,M3033036,26,12,2025,03330,4
103-OBREGO,M3033036,26,12,2025,03367,1
103-OBREGO,M3033036,26,12,2025,03370,7
103-OBREGO,M3033036,26,12,2025,03381,4
103-OBREGO,M3033036,26,12,2025,03789,4
103-OBREGO,M3033036,26,12,2025,03930,4
103-OBREGO,M3033036,26,12,2025,03963,3
103-OBREGO,M3033036,26,12,2025,04085,31
103-OBREGO,M3033036,26,12,2025,04147,4
103-OBREGO,M3033036,26,12,2025,04238,8
103-OBREGO,M3033036,26,12,2025,04315,3
103-OBREGO,M3033036,26,12,2025,04590,2
103-OBREGO,M3033036,26,12,2025,04731,1
103-OBREGO,M3033036,26,12,2025,04785,4
103-OBREGO,M3033036,26,12,2025,04902,4
